episode_number,title,season,season_episode_number,imdb_rating
121,Episode #11.9,11,9,5.301234567891
122,Episode #11.10,11,10,5.901234567891
123,The Men Tell All,11,11,6.201234567891
124,Episode #11.12,11,12,6.301234567891
125,After the Final Rose,11,13,5.501234567891
126,Episode #12.1,12,1,7.101234567891
127,Episode #12.2,12,2,6.801234567891
128,Episode #12.3,12,3,6.401234567891
129,Episode #12.4,12,4,6.501234567891
130,Episode #12.5,12,5,5.501234567891
131,Episode #12.6,12,6,5.701234567891
132,Episode #12.7,12,7,6.201234567891
133,Episode #12.8,12,8,6.301234567891
134,Episode #12.9,12,9,6.101234567891
135,The Men Tell All,12,10,5.701234567891
136,Episode #12.11,12,11,6.101234567891
137,After the Final Rose,12,12,5.701234567891
138,Episode #13.1,13,1,6.101234567891
139,Episode #13.2,13,2,6.001234567891
140,Episode #13.3,13,3,6.701234567891
141,Episode #13.4,13,4,5.701234567891
142,Episode #13.5,13,5,5.501234567891
143,Episode #13.6,13,6,5.401234567891
144,Episode #13.7,13,7,5.601234567891
145,Episode #13.8,13,8,5.601234567891
146,Episode #13.9,13,9,4.901234567891
147,The Men Tell All,13,10,5.201234567891
148,The Three-Hour Live Finale,13,11,4.001234567891
149,Episode #14.1,14,1,7.001234567891
150,Episode #14.2,14,2,7.001234567891
151,Episode #14.3,14,3,7.001234567891
152,Episode #14.4,14,4,6.901234567891
153,Episode #14.5,14,5,7.001234567891
154,Episode #14.6,14,6,7.201234567891
155,Episode #14.7,14,7,7.201234567891
156,Episode #14.8,14,8,7.001234567891
157,Episode #14.9,14,9,7.101234567891
158,The Men Tell All,14,10,6.001234567891
159,The Three-Hour Live Finale,14,11,7.301234567891
160,The Bachelorette Reunion: The Biggest Bachelorette Reunion in Bachelor History Ever!,15,0,6.901234567891
161,Episode #15.1,15,1,6.601234567891
162,Episode #15.2,15,2,6.501234567891
163,Episode #15.3,15,3,7.001234567891
164,Episode #15.4,15,4,6.901234567891
165,Episode #15.5,15,5,5.901234567891
166,Episode #15.6,15,6,3.301234567891
167,Episode #15.7,15,7,5.901234567891
168,Episode #15.8,15,8,6.401234567891
169,Episode #15.9,15,9,7.001234567891
170,Episode #15.10,15,10,7.801234567891
171,The Men Tell All,15,11,6.201234567891
172,Season Finale: Part 1,15,12,6.601234567891
173,Season Finale: Part 2,15,13,6.501234567891
174,Episode #16.1,16,1,5.601234567891
175,Episode #16.2,16,2,5.501234567891
176,Episode #16.3,16,3,5.301234567891
177,Episode #16.4,16,4,5.801234567891
178,Episode #16.5,16,5,7.601234567891
179,Episode #16.6,16,6,7.601234567891
180,Episode #16.7,16,7,7.501234567891
181,Episode #16.8,16,8,7.001234567891
182,Episode #16.9,16,9,7.901234567891
183,The Men Tell All,16,10,7.301234567891
184,Episode #16.11,16,11,7.701234567891
185,Episode #16.12,16,12,7.901234567891
186,Episode #16.13,16,13,7.901234567891
187,Episode #17.1,17,1,6.401234567891
188,Episode #17.2,17,2,6.801234567891
189,Episode #17.3,17,3,6.901234567891
190,Episode #17.4,17,4,7.201234567891
191,Episode #17.5,17,5,7.401234567891
192,Episode #17.6,17,6,7.401234567891
193,Episode #17.7,17,7,7.901234567891
194,Men Tell All,17,8,6.901234567891
195,Episode #17.9,17,9,7.801234567891
196,Episode #17.10,17,10,6.901234567891
197,Episode #18.1,18,1,7.201234567891
198,Episode #18.2,18,2,6.901234567891
199,Episode #18.3,18,3,7.001234567891
200,Episode #18.4,18,4,6.801234567891
201,Episode #18.5,18,5,7.201234567891
202,Episode #18.6,18,6,7.201234567891
203,Episode #18.7,18,7,7.101234567891
204,The Men Tell All,18,8,7.001234567891
205,Episode #18.9,18,9,7.201234567891
206,Episode #18.10,18,10,6.801234567891
207,After the Final Rose,18,11,6.901234567891
208,Episode #19.1,19,1,7.001234567891
209,Episode #19.2,19,2,6.101234567891
210,Episode #19.3,19,3,7.101234567891
211,Episode #19.4,19,4,7.601234567891
212,Episode #19.5,19,5,7.001234567891
213,Episode #19.6,19,6,7.401234567891
214,Episode #19.7,19,7,7.601234567891
215,The Men Tell All,19,8,4.501234567891
216,Episode #19.9,19,9,7.901234567891
217,Episode #19.10,19,10,7.801234567891
218,Episode #19.11,19,11,7.301234567891
219,Episode #19.12,19,12,6.301234567891
